algo,text,sweep,n,m,occurrences,pre_ops,text_reads,char_comparisons
rabin_karp,english,m,1048576,256,1,511,2097152,256
naive,english,m,1048576,512,1,0,1372950,1372950
kmp,english,m,1048576,512,1,640,1312751,1312751
bmh,english,m,1048576,512,1,511,65357,65357
rabin_karp,english,m,1048576,512,1,1023,2097152,512
naive,english,m,1048576,1024,1,0,1222211,1222211
kmp,english,m,1048576,1024,1,1097,1138639,1138639
bmh,english,m,1048576,1024,1,1023,50752,50752
rabin_karp,english,m,1048576,1024,1,2047,2097152,1024
naive,periodic,m,1048576,4,0,0,4194292,4194292
kmp,periodic,m,1048576,4,0,5,2097149,2097149
bmh,periodic,m,1048576,4,0,3,1048573,1048573
rabin_karp,periodic,m,1048576,4,0,7,2097148,0
naive,periodic,m,1048576,8,0,0,8388552,8388552
kmp,periodic,m,1048576,8,0,13,2097145,2097145
bmh,periodic,m,1048576,8,0,7,1048569,1048569
rabin_karp,periodic,m,1048576,8,0,15,2097144,0
naive,periodic,m,1048576,16,0,0,16776976,16776976
kmp,periodic,m,1048576,16,0,29,2097137,2097137
bmh,periodic,m,1048576,16,0,15,1048561,1048561
rabin_karp,periodic,m,1048576,16,0,31,2097136,0
naive,periodic,m,1048576,32,0,0,33553440,33553440
kmp,periodic,m,1048576,32,0,61,2097121,2097121
bmh,periodic,m,1048576,32,0,31,1048545,1048545
rabin_karp,periodic,m,1048576,32,0,63,2097120,0
naive,periodic,m,1048576,64,0,0,67104832,67104832
kmp,periodic,m,1048576,64,0,125,2097089,2097089
bmh,periodic,m,1048576,64,0,63,1048513,1048513
rabin_karp,periodic,m,1048576,64,0,127,2097088,0
naive,periodic,m,1048576,128,0,0,134201472,134201472
kmp,periodic,m,1048576,128,0,253,2097025,2097025
bmh,periodic,m,1048576,128,0,127,1048449,1048449
rabin_karp,periodic,m,1048576,128,0,255,2097024,0
naive,periodic,m,1048576,256,0,0,268370176,268370176
kmp,periodic,m,1048576,256,0,509,2096897,2096897
bmh,periodic,m,1048576,256,0,255,1048321,1048321
rabin_karp,periodic,m,1048576,256,0,511,2096896,0
naive,periodic,m,1048576,512,0,0,536609280,536609280
kmp,periodic,m,1048576,512,0,1021,2096641,2096641
bmh,periodic,m,1048576,512,0,511,1048065,1048065
rabin_karp,periodic,m,1048576,512,0,1023,2096640,0
naive,periodic,m,1048576,1024,0,0,1072694272,1072694272
kmp,periodic,m,1048576,1024,0,2045,2096129,2096129
bmh,periodic,m,1048576,1024,0,1023,1047553,1047553
rabin_karp,periodic,m,1048576,1024,0,2047,2096128,0
