algo,family,dist,n,repeats,median_ms
std_stable_sort,nlogn,reversed,1048576,5,7.034174
std_stable_sort,nlogn,nearly_sorted,256,5,0.000569
std_stable_sort,nlogn,nearly_sorted,1024,5,0.002127
std_stable_sort,nlogn,nearly_sorted,4096,5,0.008663
std_stable_sort,nlogn,nearly_sorted,16384,5,0.037411
std_stable_sort,nlogn,nearly_sorted,32768,5,0.078919
std_stable_sort,nlogn,nearly_sorted,65536,5,0.17308
std_stable_sort,nlogn,nearly_sorted,262144,5,0.76968
std_stable_sort,nlogn,nearly_sorted,1048576,5,4.081611
std_stable_sort,nlogn,few_unique,256,5,0.001526
std_stable_sort,nlogn,few_unique,1024,5,0.010402
std_stable_sort,nlogn,few_unique,4096,5,0.062338
std_stable_sort,nlogn,few_unique,16384,5,0.278722
std_stable_sort,nlogn,few_unique,32768,5,0.531052
std_stable_sort,nlogn,few_unique,65536,5,1.166422
std_stable_sort,nlogn,few_unique,262144,5,4.782269
std_stable_sort,nlogn,few_unique,1048576,5,20.146033
counting,linear,random,256,5,0.000441
counting,linear,random,1024,5,0.001406
counting,linear,random,4096,5,0.005692
counting,linear,random,16384,5,0.042015
counting,linear,random,32768,5,0.100164
counting,linear,random,65536,5,0.23537
counting,linear,random,262144,5,1.047288
counting,linear,random,1048576,5,11.242714
counting,linear,sorted,256,5,0.000405
counting,linear,sorted,1024,5,0.00125
counting,linear,sorted,4096,5,0.005617
counting,linear,sorted,16384,5,0.026963
counting,linear,sorted,32768,5,0.065093
counting,linear,sorted,65536,5,0.110887
counting,linear,sorted,262144,5,0.499238
counting,linear,sorted,1048576,5,6.560623
counting,linear,reversed,256,5,0.000381
counting,linear,reversed,1024,5,0.001272
counting,linear,reversed,4096,5,0.005397
counting,linear,reversed,16384,5,0.024544
counting,linear,reversed,32768,5,0.051629
counting,linear,reversed,65536,5,0.104306
counting,linear,reversed,262144,5,0.460109
counting,linear,reversed,1048576,5,7.239423
counting,linear,nearly_sorted,256,5,0.000394
counting,linear,nearly_sorted,1024,5,0.001265
counting,linear,nearly_sorted,4096,5,0.005607
counting,linear,nearly_sorted,16384,5,0.027223
counting,linear,nearly_sorted,32768,5,0.059644
counting,linear,nearly_sorted,65536,5,0.109897
counting,linear,nearly_sorted,262144,5,0.508552
counting,linear,nearly_sorted,1048576,5,7.53796
counting,linear,few_unique,256,5,0.000478
