algo,text,n,m,repeats,median_ms,occurrences
bmh,periodic,1048576,4,5,2.022985,0
rabin_karp,periodic,1048576,4,5,4.972655,0
sv_find,periodic,1048576,4,5,4.526466,0
std_bmh,periodic,1048576,4,5,1.801644,0
std_bm,periodic,1048576,4,5,2.152908,0
naive,periodic,1048576,8,5,1.124407,0
kmp,periodic,1048576,8,5,0.783443,0
bmh,periodic,1048576,8,5,1.996081,0
rabin_karp,periodic,1048576,8,5,5.01601,0
sv_find,periodic,1048576,8,5,4.577898,0
std_bmh,periodic,1048576,8,5,1.817707,0
std_bm,periodic,1048576,8,5,2.159006,0
naive,periodic,1048576,16,5,2.19075,0
kmp,periodic,1048576,16,5,0.78899,0
bmh,periodic,1048576,16,5,1.963165,0
rabin_karp,periodic,1048576,16,5,5.022893,0
sv_find,periodic,1048576,16,5,4.554047,0
std_bmh,periodic,1048576,16,5,1.806763,0
std_bm,periodic,1048576,16,5,2.16598,0
naive,periodic,1048576,32,5,6.960565,0
kmp,periodic,1048576,32,5,0.784465,0
bmh,periodic,1048576,32,5,1.962369,0
rabin_karp,periodic,1048576,32,5,5.025281,0
sv_find,periodic,1048576,32,5,4.487674,0
std_bmh,periodic,1048576,32,5,1.79215,0
std_bm,periodic,1048576,32,5,2.161794,0
naive,periodic,1048576,64,5,18.224159,0
kmp,periodic,1048576,64,5,0.754323,0
bmh,periodic,1048576,64,5,1.97095,0
rabin_karp,periodic,1048576,64,5,5.075128,0
sv_find,periodic,1048576,64,5,4.331271,0
std_bmh,periodic,1048576,64,5,1.796699,0
std_bm,periodic,1048576,64,5,2.161618,0
naive,periodic,1048576,128,5,27.168165,0
kmp,periodic,1048576,128,5,0.78551,0
bmh,periodic,1048576,128,5,2.047737,0
rabin_karp,periodic,1048576,128,5,5.053628,0
sv_find,periodic,1048576,128,5,4.715734,0
std_bmh,periodic,1048576,128,5,1.794192,0
std_bm,periodic,1048576,128,5,2.16606,0
naive,periodic,1048576,256,5,44.468392,0
kmp,periodic,1048576,256,5,0.799232,0
bmh,periodic,1048576,256,5,1.965104,0
rabin_karp,periodic,1048576,256,5,5.00534,0
sv_find,periodic,1048576,256,5,5.718136,0
std_bmh,periodic,1048576,256,5,1.814488,0
std_bm,periodic,1048576,256,5,2.19929,0
naive,periodic,1048576,512,5,78.876259,0
kmp,periodic,1048576,512,5,0.788826,0
bmh,periodic,1048576,512,5,2.056949,0
rabin_karp,periodic,1048576,512,5,4.929868,0
sv_find,periodic,1048576,512,5,7.612548,0
std_bmh,periodic,1048576,512,5,1.802615,0
std_bm,periodic,1048576,512,5,2.202955,0
naive,periodic,1048576,1024,5,149.80208,0
kmp,periodic,1048576,1024,5,0.792689,0
bmh,periodic,1048576,1024,5,2.004378,0
rabin_karp,periodic,1048576,1024,5,4.99767,0
sv_find,periodic,1048576,1024,5,10.838035,0
std_bmh,periodic,1048576,1024,5,1.811534,0
std_bm,periodic,1048576,1024,5,2.284905,0
